"Lewy kontekst","Rezultat","Prawy kontekst","Interpretacja","Nazwa własna","Relacja zależnościowa","Lemat nadrzędnika","Izba","Typ","Autor","Mówca","Przynależność mówcy","Rola mówcy","Płeć mówcy","Komisja","Data","Timestamp","Rok","Ustrój","Numer kadencji","Etykieta","Tytuł","Sesja","Dzień","Numer","Część"
" latach 2011 i 2012 były realizowane w pełnym wymiarze:"," digitalizacja"," techniczna i opracowanie. Ta ostatnia czynność jest dużo bardziej","[digitalizacja:subst:sg:nom:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" i młodzieży podzielić na dwa obszary i dwie umowy:"," digitalizacji"," technicznej i opracowanie metadanych. W efekcie digitalizacji technicznej uzyskano","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" umowy: digitalizacji technicznej i opracowanie metadanych. W efekcie"," digitalizacji"," technicznej uzyskano 10,5 tys. plików cyfrowych, które następnie","[digitalizacja:subst:sg:gen:f]","_","comp","efekt","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" roku - 2013 - w Archiwum Polskiego Radia powstało po"," digitalizacji"," 47 tys. plików cyfrowych o łącznym czasie prawie 30","[digitalizacja:subst:sg:loc:f]","_","comp","po","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
". Aktualnie Polskie Radio SA bez problemu jest w stanie"," digitalizować"," technicznie swoje zbiory w tempie ok. 60 tys.","[digitalizować:inf:imperf]","_","comp_inf","być","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" i staramy się uwzględnić jego sugestie. Ad 8."," Digitalizacja"," zbiorów w różnoraki sposób może przyczynić się do upowszechnienia nagrań","[digitalizacja:subst:sg:nom:f]","_","subj","móc","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" nośnik (lub inna forma transferu) bez konieczności dokonywania"," digitalizacji",", e) po spełnieniu wymogów prawa autorskiego możliwe jest","[digitalizacja:subst:sg:gen:f]","_","obj","dokonywać","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
". Słuchowiska Teatru Polskiego Radia są przez Polskie Radio SA"," digitalizowane",". W naszych zasobach posiadamy ok. 22 tys.","[digitalizować:ppas:pl:nom:n:imperf:aff]","_","pd","być","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" słuchowisk i innych audycji. Jak wskazaliśmy powyżej,"," digitalizacja"," techniczna nie stanowi już większego problemu (już jest ok","[digitalizacja:subst:sg:nom:f]","_","subj","stanowić","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
"/KJ) dotyczące interpelacji posła Marka Opioły w sprawie"," digitalizacji"," archiwum Polskiego Radia uprzejmie proszę o przyjęcie następujących wyjaśnień udzielanych","[digitalizacja:subst:sg:gen:f]","_","comp","sprawa","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" sześć umów wykonawczych, których przedmiotem jest współpraca stron przy"," digitalizacji"," zbiorów znajdujących się w archiwum Polskiego Radia. W ramach","[digitalizacja:subst:sg:loc:f]","_","comp","przy","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" współpracy na podstawie wskazanych powyżej umów Polskie Radio realizuje procesy"," digitalizacji"," i dokumentacji materiałów archiwalnych, który NlnA finansuje ze środków","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
". Ad 3. Na podstawie wskazanych powyżej umów dotychczas"," digitalizacji"," zostało poddanych 15 387 materiałów - audycji i nagrań muzycznych","[digitalizacja:subst:sg:gen:f]","_","comp","umowa","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" na podstawie umowy z Polskim Radiem, przekazał środki na"," digitalizację"," ponad 900 archiwalnych nagrań zarejestrowanych na ogólnopolskim festiwalu kapel i","[digitalizacja:subst:sg:acc:f]","_","comp","na","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
" śpiewaków ludowych - Kazimierz nad Wisłą. Poza wymienionymi projektami"," digitalizacji"," na podstawie umów z Polskim Radiem zostały poddane archiwalne audycje","[digitalizacja:subst:sg:gen:f]","_","adjunct","projekt","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-24185-03","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 24185 w sprawie digitalizacji archiwum Polskiego Radia","","","24185","3"
"Polska cyfrowa˝ unijne środki na rozwój e-usług publicznych,"," digitalizację"," zasobów i rozwój kompetencji cyfrowych w szkołach będą także dostępne","[digitalizacja:subst:sg:nom:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Małgorzata Olszewska - podsekretarz stanu w Ministerstwie Administracji i Cyfryzacji","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-26494-02","Odpowiedź podsekretarza stanu w Ministerstwie Administracji i Cyfryzacji na interpelację nr 26494 w sprawie wysokich cen w zakresie dostępu do Internetu w Polsce","","","26494","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14528-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14528 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Turcji","","","14528","2"
" podjętych prac dokumentacyjnych jest rozpoczęty w 2004 r. projekt"," digitalizacji",", w ramach którego skanowane są polskie kolekcje rękopisów i","[digitalizacja:subst:sg:gen:f]","_","adjunct","projekt","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-26173-02","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 26173 w sprawie dawnych zbiorów Ossolineum pozostałych we Lwowie","","","26173","2"
" z inicjatywy Ossolineum jest systematycznie poddawany skanowaniu w ramach projektu"," digitalizacji"," przedwojennych kolekcji ZNiO. Od września 2013 r. do","[digitalizacja:subst:sg:gen:f]","_","comp","projekt","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-26173-02","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 26173 w sprawie dawnych zbiorów Ossolineum pozostałych we Lwowie","","","26173","2"
" przewidują inwestycje dotyczące dziedzictwa kulturowego, jak również działania dotyczące"," digitalizacji"," dóbr kultury. Zapisy umowy partnerstwa, jako dokumentu określającego","[digitalizacja:subst:sg:gen:f]","_","obj_th","dotyczyć","Sejm","Odpowiedź na interpelację","Małgorzata Omilanowska - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-28880-02","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 28880 w sprawie relacji pomiędzy wzrostem gospodarczym a nakładami na kulturę","","","28880","2"
" w ramach PO PC przewiduje się dofinansowanie działań wspierających proces"," digitalizacji"," dóbr kultury i dziedzictwa narodowego. W ramach RPO przewiduje","[digitalizacja:subst:sg:gen:f]","_","comp","proces","Sejm","Odpowiedź na interpelację","Małgorzata Omilanowska - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-28880-02","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 28880 w sprawie relacji pomiędzy wzrostem gospodarczym a nakładami na kulturę","","","28880","2"
" kolei zmianę sposobu naliczania dotacji do podręczników. W epoce"," digitalizacji"," książek, w tym elektronicznych podręczników akademickich, pojęcie ˝","[digitalizacja:subst:sg:gen:f]","_","comp","epoka","Sejm","Odpowiedź na interpelację","Barbara Kudrycka - minister nauki i szkolnictwa wyższego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-15292-02","Odpowiedź ministra nauki i szkolnictwa wyższego na interpelację nr 15292 w sprawie elektronicznych podręczników akademickich","","","15292","2"
" prowadzone przez placówki naukowe, których celem jest m.in."," digitalizacja"," szwedzkich poloników. Wyrażam przekonanie, że wyjaśnienia przedstawione powyżej","[digitalizacja:subst:sg:nom:f]","_","subj","być","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-15342-02","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 15342 w sprawie restytucji dóbr kultury utraconych przez Polskę w latach 1655-1660","","","15342","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14533-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14533 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Socjalistycznej Republice Wietnamu","","","14533","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14559-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14559 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Indonezji","","","14559","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14541-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14541 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Kuby","","","14541","2"
"˝. Jednym z wniosków z rozmowy było stworzenie projektu"," digitalizacji"," poloników znajdujących się w zasobach archiwów rosyjskich, do czego","[digitalizacja:subst:sg:gen:f]","_","comp","projekt","Sejm","Odpowiedź na interpelację","Grażyna Bernatowicz - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-03220-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 3220 w sprawie wyjaśnienia okoliczności obławy augustowskiej z lipca 1945 r.","","","3220","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14551-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14551 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Królestwie Norwegii","","","14551","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14525-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14525 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Peru","","","14525","2"
" było przyjęcie przez Ministerstwo Kultury i Dziedzictwa Narodowego ˝Programu"," digitalizacji"," dóbr kultury oraz gromadzenia, przechowywania i udostępniania obiektów cyfrowych","[digitalizacja:subst:sg:gen:f]","_","comp","program","Sejm","Odpowiedź na interpelację","Piotr Żuchowski - sekretarz stanu w Ministerstwie Kultury i Dziedzictwa Narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-18726-03","Odpowiedź sekretarza stanu w Ministerstwie Kultury i Dziedzictwa Narodowego - z upoważnienia ministra - na interpelację nr 18726 w sprawie wynagrodzeń pracowników archiwów państwowych","","","18726","3"
" i powierzenia Narodowemu Archiwum Cyfrowemu funkcji centrum kompetencji w zakresie"," digitalizacji"," zasobów archiwalnych. Niniejszy program przewidywał powierzenie czterem podmiotom podległym","[digitalizacja:subst:sg:gen:f]","_","comp","zakres","Sejm","Odpowiedź na interpelację","Piotr Żuchowski - sekretarz stanu w Ministerstwie Kultury i Dziedzictwa Narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-18726-03","Odpowiedź sekretarza stanu w Ministerstwie Kultury i Dziedzictwa Narodowego - z upoważnienia ministra - na interpelację nr 18726 w sprawie wynagrodzeń pracowników archiwów państwowych","","","18726","3"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14542-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14542 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Królestwie Szwecji","","","14542","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14540-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14540 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Królestwie Marokańskim","","","14540","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14573-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14573 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Francuskiej","","","14573","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14574-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14574 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Greckiej","","","14574","2"
" prawa autorskiego, przede wszystkim w obszarze dozwolonego użytku oraz"," digitalizacji"," i udostępniania zasobów przez instytucje kultury. Projektowane zmiany stanowią","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Andrzej Wyrobiec - podsekretarz stanu w Ministerstwie Kultury i Dziedzictwa Narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-33072-02","Odpowiedź na interpelację nr 33072 w sprawie wdrożenia unijnej dyrektywy nr 2012/28/UE w sprawie utworów osieroconych Odpowiadający: podsekretarz stanu w Ministerstwie Kultury i Dziedzictwa Narodowego Andrzej Wyrobiec Warszawa, 22-07-2015","","","33072","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14506-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14506 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Koreańskiej Republice Ludowo-Demokratycznej","","","14506","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14510-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14510 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP na Węgrzech","","","14510","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14570-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14570 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Czeskiej","","","14570","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14539-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14539 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Boliwariańskiej Republice Wenezueli","","","14539","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14513-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14513 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Republice Słowackiej","","","14513","2"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14556-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14556 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Państwie Izrael","","","14556","2"
" Jorku. Zrealizowano kilka dużych projektów w zakresie mikrofilmowania i"," digitalizacji"," archiwaliów z zasobu instytucji polonijnych. W 2011 r.","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Henryka Mościcka-Dendys - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-22459-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 22459 w sprawie planowanej likwidacji Muzeum Polskiego w Rapperswilu","","","22459","2"
" akt siedleckich odnaleziony w Brazylii. Konserwacji oraz mikrofilmowaniu i"," digitalizacji"," poddany został także liczący blisko 15 tys. dokumentów archiwalnych","[digitalizacja:subst:sg:loc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Henryka Mościcka-Dendys - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-22459-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 22459 w sprawie planowanej likwidacji Muzeum Polskiego w Rapperswilu","","","22459","2"
" rok generował coraz mniejsze przychody. Wynika to z postępującej"," digitalizacji",", czyli z rezygnowania z tradycyjnie wysyłanej korespondencji. Ten","[digitalizacja:subst:sg:gen:f]","_","comp","z","Sejm","Odpowiedź na interpelację","Małgorzata Olszewska - podsekretarz stanu w Ministerstwie Administracji i Cyfryzacji","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-26328-02","Odpowiedź podsekretarza stanu w Ministerstwie Administracji i Cyfryzacji na interpelację nr 26328 w sprawie sytuacji Poczty Polskiej SA","","","26328","2"
" usługach bankowo-ubezpieczeniowych, a także projektach związanych z"," digitalizacją"," i Internetem. Poczta nadal będzie rozwijać swoją platformę cyfrową","[digitalizacja:subst:sg:inst:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Małgorzata Olszewska - podsekretarz stanu w Ministerstwie Administracji i Cyfryzacji","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-26328-02","Odpowiedź podsekretarza stanu w Ministerstwie Administracji i Cyfryzacji na interpelację nr 26328 w sprawie sytuacji Poczty Polskiej SA","","","26328","2"
" nieruchomych wraz z otoczeniem, konserwacja zabytków ruchomych i ich"," digitalizacja",") i rozwoju zasobów kultury (zwiększenie dostępności, poprawa","[digitalizacja:subst:sg:nom:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Bogdan Zdrojewski - minister kultury i dziedzictwa narodowego","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-23614-11","Odpowiedź ministra kultury i dziedzictwa narodowego na interpelację nr 23614 w sprawie wyzwań dla polskiej polityki europejskiej w drugiej dekadzie członkostwa w Unii Europejskiej","","","23614","11"
" wspiera środowiska lokalne w dokumentacji i popularyzacji własnej historii poprzez"," digitalizację"," zbiorów i tworzenie stron internetowych. Ambasada wspiera nauczycieli języka","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Odpowiedź na interpelację","Janusz Cisek - podsekretarz stanu w Ministerstwie Spraw Zagranicznych","","_","_","_","","","","","III RP","7","201115-sjm-ioxxx-14538-02","Odpowiedź podsekretarza stanu w Ministerstwie Spraw Zagranicznych - z upoważnienia ministra - na interpelację nr 14538 w sprawie wywiązywania się ze swoich ustawowych obowiązków przez ambasadora RP w Federacji Rosyjskiej","","","14538","2"
