"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"sentymentalny",9,17.39369,8,4.32432
"ideologiczny",9,17.39369,3,1.62162
"dobra",8,15.46106,5,2.70270
"opozycyjny",8,15.46106,3,1.62162
"kaliski",8,15.46106,2,1.08108
"partnerski",8,15.46106,8,4.32432
"patriotyczny",8,15.46106,4,2.16216
"podatny",8,15.46106,4,2.16216
"podkrakowski",8,15.46106,5,2.70270
"staropolski",8,15.46106,3,1.62162
"drastyczny",8,15.46106,3,1.62162
"duchowny",8,15.46106,2,1.08108
"konkursowy",8,15.46106,2,1.08108
"pożądany",8,15.46106,4,2.16216
"sześćdziesiąty",8,15.46106,3,1.62162
"precyzyjny",8,15.46106,5,2.70270
"dyskusyjny",8,15.46106,5,2.70270
"kujawsko-pomorskiej",8,15.46106,3,1.62162
"e.",8,15.46106,2,1.08108
"reklamowy",8,15.46106,4,2.16216
"ekonomiczny",8,15.46106,4,2.16216
"roczny",8,15.46106,5,2.70270
"eksperymentalny",8,15.46106,2,1.08108
"rolny",8,15.46106,5,2.70270
"rozpoznawalny",8,15.46106,5,2.70270
"rzetelny",8,15.46106,6,3.24324
"spektakularny",8,15.46106,6,3.24324
"rzymskokatolicki",8,15.46106,4,2.16216
"amatorski",8,15.46106,6,3.24324
"lwowski",8,15.46106,4,2.16216
"maksymalny",8,15.46106,5,2.70270
"szczery",8,15.46106,4,2.16216
"mokotowski",8,15.46106,8,4.32432
"technologiczny",8,15.46106,5,2.70270
"francuski",8,15.46106,4,2.16216
"tymczasowy",8,15.46106,2,1.08108
"gnieźnieński",8,15.46106,2,1.08108
"biologiczny",8,15.46106,4,2.16216
"niewystarczający",8,15.46106,4,2.16216
"wielowymiarowy",8,15.46106,8,4.32432
"czyjś",8,15.46106,2,1.08108
"zbąszyński",8,15.46106,2,1.08108
"głęboki",8,15.46106,6,3.24324
"handlowy",8,15.46106,6,3.24324
"wystarczający",8,15.46106,5,2.70270
"ochronny",8,15.46106,6,3.24324
"xvii",8,15.46106,5,2.70270
"czytelny",8,15.46106,2,1.08108
"zbliżony",8,15.46106,4,2.16216
"zdawczo-odbiorczy",8,15.46106,3,1.62162
"rękopiśmienny",8,15.46106,2,1.08108
"odpłatny",8,15.46106,2,1.08108
"intelektualny",8,15.46106,5,2.70270
"świetny",8,15.46106,4,2.16216
"żółty",8,15.46106,4,2.16216
"osiedlowy",8,15.46106,3,1.62162
"interwencyjny",7,13.52843,3,1.62162
"jawny",7,13.52843,3,1.62162
"industrialny",7,13.52843,4,2.16216
"oświatowy",7,13.52843,4,2.16216
"partykularny",7,13.52843,1,0.54054
"pdwhuldâdpldufklzdoq",7,13.52843,1,0.54054
"piotrkowski",7,13.52843,1,0.54054
"dopuszczalny",7,13.52843,4,2.16216
"agencyjny",7,13.52843,7,3.78378
"podlaski",7,13.52843,4,2.16216
"archiwizacyjny",7,13.52843,5,2.70270
"pograniczny",7,13.52843,3,1.62162
"okolicznościowy",7,13.52843,5,2.70270
"klimatyczny",7,13.52843,3,1.62162
"polsko-ukraińskim",7,13.52843,2,1.08108
"konferencyjny",7,13.52843,4,2.16216
"prawnoautorski",7,13.52843,3,1.62162
"kontekstowy",7,13.52843,3,1.62162
"prawobrzeżny",7,13.52843,6,3.24324
"arabski",7,13.52843,3,1.62162
"tani",7,13.52843,2,1.08108
"północny",7,13.52843,5,2.70270
"długotrwały",7,13.52843,3,1.62162
"radiowy",7,13.52843,6,3.24324
"efemeryczny",7,13.52843,6,3.24324
"problematyczny",7,13.52843,2,1.08108
"lingwistyczny",7,13.52843,1,0.54054
"płaski",7,13.52843,3,1.62162
"lubaczowski",7,13.52843,2,1.08108
"socjologiczny",7,13.52843,6,3.24324
"chemiczny",7,13.52843,4,2.16216
"mazowiecki",7,13.52843,5,2.70270
"wyłączny",7,13.52843,3,1.62162
"wałowy",7,13.52843,1,0.54054
"nietypowy",7,13.52843,4,2.16216
"chłodny",7,13.52843,2,1.08108
"tożsamy",7,13.52843,4,2.16216
"nieliczny",7,13.52843,4,2.16216
"domyślny",7,13.52843,7,3.78378
"ebib",7,13.52843,1,0.54054
"ramowy",7,13.52843,2,1.08108
"efektywny",7,13.52843,4,2.16216
"godny",7,13.52843,5,2.70270
"uprawniony",7,13.52843,4,2.16216
"uzasadniony",7,13.52843,5,2.70270
"viii",7,13.52843,2,1.08108
"cywilno-prawna",7,13.52843,1,0.54054
"ldâ",7,13.52843,1,0.54054
"wilanowski",7,13.52843,3,1.62162
"nieodpłatny",7,13.52843,4,2.16216
"wtórny",7,13.52843,2,1.08108
"weselny",7,13.52843,5,2.70270
"pokaźny",7,13.52843,5,2.70270
"czołowy",7,13.52843,2,1.08108
"hierarchiczny",7,13.52843,3,1.62162
"zapasowy",7,13.52843,2,1.08108
"ocalały",7,13.52843,4,2.16216
"demograficzny",7,13.52843,1,0.54054
"odległy",7,13.52843,5,2.70270
"integralny",7,13.52843,5,2.70270
"zwięzły",7,13.52843,2,1.08108
"normalny",7,13.52843,5,2.70270
"ankietowy",7,13.52843,2,1.08108
"optymalny",7,13.52843,3,1.62162
"śnieżny",6,11.59579,3,1.62162
"opatowski",6,11.59579,2,1.08108
"święty",6,11.59579,5,2.70270
"optyczny",6,11.59579,2,1.08108
"definicyjny",6,11.59579,3,1.62162
"oznaczony",6,11.59579,4,2.16216
"papieski",6,11.59579,4,2.16216
"piąty",6,11.59579,5,2.70270
"partycypacyjny",6,11.59579,4,2.16216
"kadrowy",6,11.59579,3,1.62162
"kartkowy",6,11.59579,4,2.16216
"kaszubsko-pomorskiego",6,11.59579,2,1.08108
"bitowy",6,11.59579,2,1.08108
"kolekcjonerski",6,11.59579,4,2.16216
"polsko-amerykańskiej",6,11.59579,5,2.70270
"faktograficzny",6,11.59579,5,2.70270
"doświadczony",6,11.59579,3,1.62162
"drugorzędny",6,11.59579,5,2.70270
"ds.",6,11.59579,6,3.24324
"kompatybilny",6,11.59579,4,2.16216
"firmowy",6,11.59579,3,1.62162
"pośredni",6,11.59579,4,2.16216
"dyplomowy",6,11.59579,2,1.08108
"korespondencyjny",6,11.59579,4,2.16216
"procesualny",6,11.59579,1,0.54054
"przyjazny",6,11.59579,4,2.16216
"przygotowawczy",6,11.59579,2,1.08108
"ciężki",6,11.59579,5,2.70270
"płatny",6,11.59579,4,2.16216
"budowlany",6,11.59579,5,2.70270
"fundamentalny",6,11.59579,4,2.16216
"australijski",6,11.59579,1,0.54054
"namacalny",6,11.59579,4,2.16216
"legalny",6,11.59579,3,1.62162
"ukrainoznawczej",6,11.59579,2,1.08108
"ręczny",6,11.59579,5,2.70270
"elbląski",6,11.59579,2,1.08108
"składowy",6,11.59579,3,1.62162
"marcowy",6,11.59579,3,1.62162
"skrótowy",6,11.59579,3,1.62162
"ew.",6,11.59579,1,0.54054
"spontaniczny",6,11.59579,5,2.70270
"fabryczny",6,11.59579,3,1.62162
"sztuczny",6,11.59579,6,3.24324
"adekwatny",6,11.59579,4,2.16216
"filantropijny",6,11.59579,2,1.08108
"strażacki",6,11.59579,3,1.62162
"finalny",6,11.59579,3,1.62162
"systemowy",6,11.59579,4,2.16216
"szczeciński",6,11.59579,1,0.54054
"sępoleński",6,11.59579,1,0.54054
"foralny",6,11.59579,1,0.54054
"ciepły",6,11.59579,5,2.70270
"uboczny",6,11.59579,3,1.62162
"terminologiczny",6,11.59579,4,2.16216
"kwaśny",6,11.59579,3,1.62162
"funkcjonalny",6,11.59579,3,1.62162
"galicyjski",6,11.59579,3,1.62162
"nieodkryty",6,11.59579,6,3.24324
"nagły",6,11.59579,4,2.16216
"turystyczny",6,11.59579,4,2.16216
"niedawny",6,11.59579,4,2.16216
"tutejszy",6,11.59579,6,3.24324
"wrocławski",6,11.59579,5,2.70270
"wspólnotowy",6,11.59579,4,2.16216
"wójtowski",6,11.59579,1,0.54054
"niepotrzebny",6,11.59579,2,1.08108
"webowy",6,11.59579,4,2.16216
"weryfikacyjny",6,11.59579,1,0.54054
"bawełniany",6,11.59579,2,1.08108
"niejeden",6,11.59579,3,1.62162
"niekompletny",6,11.59579,4,2.16216
"rodowity",6,11.59579,3,1.62162
"niemały",6,11.59579,3,1.62162
"niesamowity",6,11.59579,6,3.24324
"nieoceniony",6,11.59579,3,1.62162
"nieodpowiedni",6,11.59579,3,1.62162
"niestandardowy",6,11.59579,6,3.24324
"zdjęciowy",6,11.59579,5,2.70270
"włókienniczy",6,11.59579,2,1.08108
"history",6,11.59579,5,2.70270
"czynny",6,11.59579,4,2.16216
"nitrocelulozowy",6,11.59579,1,0.54054
"nieważny",6,11.59579,5,2.70270
"zaufany",6,11.59579,6,3.24324
"zespołowy",6,11.59579,3,1.62162
"obserwacyjny",6,11.59579,1,0.54054
"delikatny",6,11.59579,5,2.70270
"zniszczony",6,11.59579,4,2.16216
"odręczny",6,11.59579,2,1.08108
"niełatwy",6,11.59579,3,1.62162
"interaktywny",6,11.59579,4,2.16216
"normatywny",6,11.59579,5,2.70270
"okresowy",6,11.59579,3,1.62162
"charytatywny",6,11.59579,3,1.62162
"humanitarny",6,11.59579,3,1.62162
"żywulski",6,11.59579,3,1.62162
"dogłębny",6,11.59579,2,1.08108
"intymny",5,9.66316,5,2.70270
"dobre",5,9.66316,4,2.16216
"żywiołowy",5,9.66316,4,2.16216
"postmodernistyczny",5,9.66316,3,1.62162
"archiwane",5,9.66316,1,0.54054
"pielęgniarski",5,9.66316,5,2.70270
"pięćdziesiąty",5,9.66316,2,1.08108
"kartonowy",5,9.66316,1,0.54054
"klasyfikacyjny",5,9.66316,1,0.54054
"podlaszeckich",5,9.66316,2,1.08108
"podkowiański",5,9.66316,1,0.54054
"poboczny",5,9.66316,2,1.08108
"drukarski",5,9.66316,3,1.62162
"pogłębiony",5,9.66316,2,1.08108
"podmiotowy",5,9.66316,3,1.62162
"poliestrowy",5,9.66316,2,1.08108
"polsko-ukraińskich",5,9.66316,2,1.08108
"kolorowy",5,9.66316,3,1.62162
"portretowy",5,9.66316,3,1.62162
"południowy",5,9.66316,5,2.70270
"potoczny",5,9.66316,5,2.70270
"posoborowy",5,9.66316,2,1.08108
"dwudniowy",5,9.66316,3,1.62162
"afektywny",5,9.66316,1,0.54054
"pozazawodowy",5,9.66316,5,2.70270
"południowo-wschodnim",5,9.66316,2,1.08108
"prawdopodobny",5,9.66316,4,2.16216
"brzeźnicki",5,9.66316,1,0.54054
"kosztowny",5,9.66316,3,1.62162
"proud",5,9.66316,1,0.54054
"formacyjny",5,9.66316,1,0.54054
"dziejowy",5,9.66316,4,2.16216
"przestrzenny",5,9.66316,4,2.16216
"przełomowy",5,9.66316,2,1.08108
"dąbrowski",5,9.66316,3,1.62162
"dziwny",5,9.66316,4,2.16216
"publicystyczny",5,9.66316,2,1.08108
"kulturotwórczy",5,9.66316,2,1.08108
"reportażowy",5,9.66316,3,1.62162
"autonomiczny",5,9.66316,3,1.62162
"rzadki",5,9.66316,4,2.16216
"rzymski",5,9.66316,3,1.62162
"emigracyjny",5,9.66316,4,2.16216
"sakralny",5,9.66316,3,1.62162
"samoprzylepny",5,9.66316,3,1.62162
"autonomy",5,9.66316,1,0.54054
"mainstreamowy",5,9.66316,1,0.54054
"kresowy",5,9.66316,4,2.16216
"ustawowy",5,9.66316,4,2.16216
"niebezpieczny",5,9.66316,3,1.62162
"chomczyński",5,9.66316,1,0.54054
"autorskoprawnej",5,9.66316,1,0.54054
"krańcowy",5,9.66316,2,1.08108
"watykański",5,9.66316,3,1.62162
"sąsiedni",5,9.66316,2,1.08108
"miesięczny",5,9.66316,2,1.08108
"migowy",5,9.66316,5,2.70270
"stołeczny",5,9.66316,5,2.70270
"fotografii",5,9.66316,3,1.62162
"suchy",5,9.66316,2,1.08108
"swoisty",5,9.66316,2,1.08108
"międzyludzki",5,9.66316,3,1.62162
"szczęśliwy",5,9.66316,2,1.08108
"szkodliwy",5,9.66316,3,1.62162
"folklorystyczny",5,9.66316,3,1.62162
"słownikowy",5,9.66316,3,1.62162
"niejasny",5,9.66316,5,2.70270
"tamtejszy",5,9.66316,4,2.16216
"abstrakcyjny",5,9.66316,4,2.16216
"teologiczny",5,9.66316,4,2.16216
"globalny",5,9.66316,5,2.70270
"kurialny",5,9.66316,1,0.54054
"trzyletni",5,9.66316,3,1.62162
"trójmiejski",5,9.66316,4,2.16216
"tumski",5,9.66316,2,1.08108
"należyty",5,9.66316,2,1.08108
"cookies",5,9.66316,5,2.70270
"tytułowy",5,9.66316,2,1.08108
"uliczny",5,9.66316,4,2.16216
"ulubiony",5,9.66316,3,1.62162
"niebagatelny",5,9.66316,5,2.70270
"zbędny",5,9.66316,4,2.16216
"użytkowy",5,9.66316,4,2.16216
"graniczny",5,9.66316,3,1.62162
"niedopuszczalny",5,9.66316,3,1.62162
"nieprawidłowy",5,9.66316,3,1.62162
"gwałtowny",5,9.66316,4,2.16216
"wschodnioeuropejski",5,9.66316,2,1.08108
"głośny",5,9.66316,4,2.16216
"wygodny",5,9.66316,3,1.62162
"niewłaściwy",5,9.66316,2,1.08108
"nieposiadający",5,9.66316,4,2.16216
"zdawczo-odbiorczych",5,9.66316,2,1.08108
"założycielski",5,9.66316,3,1.62162
"własnościowy",5,9.66316,3,1.62162
"niestabilny",5,9.66316,2,1.08108
"historyczno-literackie",5,9.66316,2,1.08108
"bezkwasowe",5,9.66316,3,1.62162
"historyczno-literackich",5,9.66316,3,1.62162
"zarobkowy",5,9.66316,2,1.08108
"in",5,9.66316,3,1.62162
"czysty",5,9.66316,3,1.62162
"zdalny",5,9.66316,2,1.08108
"infrastrukturalny",5,9.66316,1,0.54054
"znakomity",5,9.66316,4,2.16216
"integracyjny",5,9.66316,3,1.62162
"ideowy",5,9.66316,3,1.62162
"łaciński",5,9.66316,2,1.08108
"okrągły",5,9.66316,2,1.08108
"okupacyjny",5,9.66316,3,1.62162
"świecki",5,9.66316,2,1.08108
"docelowy",5,9.66316,4,2.16216
"indeksowy",5,9.66316,2,1.08108
"białoruski",5,9.66316,3,1.62162
"białostocki",5,9.66316,4,2.16216
"żołnierski",4,7.73053,3,1.62162
"dogodny",4,7.73053,3,1.62162
"jazzowy",4,7.73053,3,1.62162
"jednorożecki",4,7.73053,2,1.08108
"kapłański",4,7.73053,1,0.54054
"jednoznaczny",4,7.73053,3,1.62162
"doraźny",4,7.73053,3,1.62162
"kamienny",4,7.73053,4,2.16216
"pisany",4,7.73053,4,2.16216
"piłkarski",4,7.73053,4,2.16216
"karny",4,7.73053,1,0.54054
"kilkugodzinny",4,7.73053,2,1.08108
"kilkuletni",4,7.73053,4,2.16216
"karta",4,7.73053,1,0.54054
"piśmienniczy",4,7.73053,2,1.08108
"dorosły",4,7.73053,3,1.62162
"podkarpacki",4,7.73053,4,2.16216
"podkowa",4,7.73053,2,1.08108
"katedralny",4,7.73053,1,0.54054
"dot.",4,7.73053,4,2.16216
"katyński",4,7.73053,2,1.08108
"spójny",4,7.73053,4,2.16216
"kierunkowy",4,7.73053,3,1.62162
"pojęciowy",4,7.73053,3,1.62162
"kierowniczy",4,7.73053,1,0.54054
"potomny",4,7.73053,4,2.16216
"kobiecy",4,7.73053,3,1.62162
"poprawny",4,7.73053,3,1.62162
"dwustronny",4,7.73053,3,1.62162
"komfortowy",4,7.73053,4,2.16216
"dvrex",4,7.73053,1,0.54054
"praski",4,7.73053,3,1.62162
"kontrolny",4,7.73053,3,1.62162
"powiązany",4,7.73053,4,2.16216
"prawosławny",4,7.73053,3,1.62162
"koncentracyjny",4,7.73053,4,2.16216
"powstańczy",4,7.73053,2,1.08108
"albumowy",4,7.73053,2,1.08108
"poziomy",4,7.73053,3,1.62162
"konny",4,7.73053,3,1.62162
"budżetowy",4,7.73053,2,1.08108
"przewodni",4,7.73053,4,2.16216
"ks.",4,7.73053,2,1.08108
"przymusowy",4,7.73053,1,0.54054
"koszykowy",4,7.73053,3,1.62162
"kreatywny",4,7.73053,3,1.62162
"przejrzysty",4,7.73053,3,1.62162
"naprawczy",4,7.73053,3,1.62162
"burzliwy",4,7.73053,4,2.16216
"krzyżowy",4,7.73053,1,0.54054
"przeważający",4,7.73053,3,1.62162
"przezroczysty",4,7.73053,2,1.08108
"kujawski",4,7.73053,2,1.08108
"długoterminowy",4,7.73053,4,2.16216
"rodowy",4,7.73053,3,1.62162
"rodzimy",4,7.73053,3,1.62162
"długoletni",4,7.73053,4,2.16216
"licealny",4,7.73053,4,2.16216
"kwadratowy",4,7.73053,3,1.62162
"archeologia",4,7.73053,3,1.62162
"rasowy",4,7.73053,3,1.62162
"rzemieślniczy",4,7.73053,3,1.62162
"kulturoznawczy",4,7.73053,3,1.62162
"restytucyjny",4,7.73053,1,0.54054
"rolniczy",4,7.73053,2,1.08108
"romski",4,7.73053,2,1.08108
"rozpowszechniony",4,7.73053,2,1.08108
"eksploracyjny",4,7.73053,1,0.54054
"rozwinięty",4,7.73053,3,1.62162
"ruchomy",4,7.73053,4,2.16216
"cerkiewny",4,7.73053,2,1.08108
"godzinowy",4,7.73053,2,1.08108
"macierzysty",4,7.73053,1,0.54054
"uprzedni",4,7.73053,2,1.08108
"siedemdziesiąty",4,7.73053,1,0.54054
"magnetyczny",4,7.73053,2,1.08108
"skarbowy",4,7.73053,2,1.08108
"etatowy",4,7.73053,4,2.16216
"awaryjny",4,7.73053,2,1.08108
"facebookowy",4,7.73053,4,2.16216
"miękki",4,7.73053,3,1.62162
"stalinowski",4,7.73053,3,1.62162
"sprzeczny",4,7.73053,3,1.62162
"autorskoprawnym",4,7.73053,1,0.54054
"tekturowy",4,7.73053,4,2.16216
"surowy",4,7.73053,3,1.62162
"aukcyjny",4,7.73053,3,1.62162
"szkoleniowy",4,7.73053,4,2.16216
"miły",4,7.73053,3,1.62162
"słuszny",4,7.73053,4,2.16216
"ciemny",4,7.73053,2,1.08108
"tabelaryczny",4,7.73053,1,0.54054
"monograficzny",4,7.73053,3,1.62162
"taradejna",4,7.73053,1,0.54054
"teleadresowy",4,7.73053,2,1.08108
"telewizyjny",4,7.73053,3,1.62162
"ahistoryczny",4,7.73053,2,1.08108
"tramwajowy",4,7.73053,2,1.08108
"transseksualny",4,7.73053,1,0.54054
"ustny",4,7.73053,3,1.62162
"turecki",4,7.73053,3,1.62162
"tygodniowy",4,7.73053,2,1.08108
"cieszyński",4,7.73053,1,0.54054
"ubogi",4,7.73053,4,2.16216
"ukrainoznawcze",4,7.73053,2,1.08108
"umowny",4,7.73053,2,1.08108
"nieheteronormatywne",4,7.73053,1,0.54054
"urbanistyczny",4,7.73053,2,1.08108
"ursynowski",4,7.73053,2,1.08108
"nego",4,7.73053,2,1.08108
"neutralny",4,7.73053,3,1.62162
"wystawowy",4,7.73053,1,0.54054
"wodny",4,7.73053,2,1.08108
"uzupełniający",4,7.73053,2,1.08108
"banalny",4,7.73053,4,2.16216
"nieoczywisty",4,7.73053,4,2.16216
"bankowy",4,7.73053,3,1.62162
"nieodwracalny",4,7.73053,2,1.08108
"natychmiastowy",4,7.73053,3,1.62162
"nieduży",4,7.73053,2,1.08108
"wiarygodny",4,7.73053,2,1.08108
"cywilnoprawny",4,7.73053,2,1.08108
"wieczny",4,7.73053,3,1.62162
"grudniowy",4,7.73053,2,1.08108
"wielowątkowy",4,7.73053,1,0.54054
"wigilijny",4,7.73053,1,0.54054
"czarno-białe",4,7.73053,3,1.62162
"wilkowski",4,7.73053,1,0.54054
"wielomiesięczny",4,7.73053,4,2.16216
"wizytacyjny",4,7.73053,1,0.54054
"wodzisławski",4,7.73053,4,2.16216
"wykształcony",4,7.73053,2,1.08108
"niepodległy",4,7.73053,4,2.16216
"zauważalny",4,7.73053,4,2.16216
"nieprawdziwy",4,7.73053,2,1.08108
"wzrokowy",4,7.73053,4,2.16216
"wzruszający",4,7.73053,2,1.08108
"węgierski",4,7.73053,3,1.62162
"anglojęzyczny",4,7.73053,1,0.54054
"xix-wieczny",4,7.73053,3,1.62162
"niespodziewany",4,7.73053,2,1.08108
"zaginiony",4,7.73053,4,2.16216
"związkowy",4,7.73053,3,1.62162
"angielskojęzyczny",4,7.73053,1,0.54054
"objazdowy",4,7.73053,1,0.54054
"notarialny",4,7.73053,2,1.08108
"anglosaski",4,7.73053,2,1.08108
"nieustanny",4,7.73053,2,1.08108
"zaskakujący",4,7.73053,3,1.62162
"niewidoczny",4,7.73053,2,1.08108
"zbieżny",4,7.73053,2,1.08108
"bezkwasowego",4,7.73053,3,1.62162
"niewykluczony",4,7.73053,3,1.62162
"życzliwy",4,7.73053,2,1.08108
"niewładczy",4,7.73053,1,0.54054
"niewskazany",4,7.73053,2,1.08108
"obowiązkowy",4,7.73053,3,1.62162
"częściowy",4,7.73053,2,1.08108
"inicjatywny",4,7.73053,2,1.08108
"zmarły",4,7.73053,2,1.08108
"odgórny",4,7.73053,3,1.62162
"zrozumiały",4,7.73053,4,2.16216
"interdyscyplinarny",4,7.73053,3,1.62162
"ĩuygâdlqwhuqhwrzh",4,7.73053,1,0.54054
"interpretacyjny",4,7.73053,4,2.16216
"okoliczny",4,7.73053,4,2.16216
"intuicyjny",4,7.73053,3,1.62162
"nowohucki",4,7.73053,2,1.08108
"aksjologiczny",4,7.73053,1,0.54054
"dochodowy",4,7.73053,2,1.08108
"imponujący",4,7.73053,3,1.62162
"żmudny",4,7.73053,2,1.08108
"życiowy",4,7.73053,4,2.16216
"nieostrożny",4,7.73053,3,1.62162
"mikro",4,7.73053,3,1.62162
"ঝ",4,7.73053,1,0.54054
"opcjonalny",3,5.79790,2,1.08108
"jednostronny",3,5.79790,1,0.54054
"pijarski",3,5.79790,2,1.08108
"pionowy",3,5.79790,3,1.62162
"archiwistyka",3,5.79790,1,0.54054
"partyzancki",3,5.79790,2,1.08108
"plastikowy",3,5.79790,2,1.08108
"joanna",3,5.79790,1,0.54054
"pobieżny",3,5.79790,2,1.08108
"biseksualny",3,5.79790,1,0.54054
"performatywny",3,5.79790,3,1.62162
"pieniężny",3,5.79790,1,0.54054
"każdorazowy",3,5.79790,3,1.62162
"piotrowski",3,5.79790,2,1.08108
"kapralski",3,5.79790,1,0.54054
"doradczy",3,5.79790,3,1.62162
"planszowy",3,5.79790,3,1.62162
"podatkowy",3,5.79790,1,0.54054
"polonistyczny",3,5.79790,2,1.08108
"ki",3,5.79790,1,0.54054
"podyplomowy",3,5.79790,2,1.08108
"poleski",3,5.79790,2,1.08108
"biznesowy",3,5.79790,2,1.08108
"polowy",3,5.79790,3,1.62162
"poszukiwawczy",3,5.79790,1,0.54054
"kompetentny",3,5.79790,1,0.54054
"archiwotwórcza",3,5.79790,1,0.54054
"dwudziestowieczny",3,5.79790,1,0.54054
"bohaterski",3,5.79790,3,1.62162
"ponadlokalny",3,5.79790,3,1.62162
"kolonialny",3,5.79790,3,1.62162
"adresowy",3,5.79790,2,1.08108
"dumny",3,5.79790,2,1.08108
"południowo-zachodniej",3,5.79790,3,1.62162
"postoczniowych",3,5.79790,2,1.08108
"ppi",3,5.79790,2,1.08108
"pracochłonny",3,5.79790,2,1.08108
"kontrastowy",3,5.79790,3,1.62162
"archiwoznawczym",3,5.79790,2,1.08108
"komórkowy",3,5.79790,2,1.08108
"koronny",3,5.79790,1,0.54054
"powtarzalny",3,5.79790,1,0.54054
"powystawowy",3,5.79790,1,0.54054
"dwujęzyczny",3,5.79790,2,1.08108
"koniński",3,5.79790,3,1.62162
"dwuletni",3,5.79790,3,1.62162
"pozytywowy",3,5.79790,1,0.54054
"argentyński",3,5.79790,1,0.54054
"konstruktywny",3,5.79790,3,1.62162
"art.",3,5.79790,2,1.08108
"prekursorski",3,5.79790,3,1.62162
"brzeziński",3,5.79790,1,0.54054
"prewencyjny",3,5.79790,1,0.54054
"premierowy",3,5.79790,3,1.62162
"priorytetowy",3,5.79790,3,1.62162
"produkcyjny",3,5.79790,2,1.08108
"brązowy",3,5.79790,1,0.54054
"kujawsko-kaliska",3,5.79790,1,0.54054
"dyplomowany",3,5.79790,3,1.62162
"dziecięcy",3,5.79790,3,1.62162
"prowincjonalny",3,5.79790,3,1.62162
"przechowalniczy",3,5.79790,3,1.62162
"dziennikarski",3,5.79790,2,1.08108
"przeciętny",3,5.79790,2,1.08108
"dziennikowy",3,5.79790,1,0.54054
"przejściowy",3,5.79790,3,1.62162
"przekonujący",3,5.79790,2,1.08108
"przekrojowy",3,5.79790,2,1.08108
"przeróżny",3,5.79790,2,1.08108
"kruchy",3,5.79790,2,1.08108
"przeszły",3,5.79790,3,1.62162
"case",3,5.79790,1,0.54054
"prywatna",3,5.79790,2,1.08108
"archeologiczny",3,5.79790,2,1.08108
"reporterski",3,5.79790,3,1.62162
"ptasi",3,5.79790,3,1.62162
"lekcyjny",3,5.79790,3,1.62162
"błahy",3,5.79790,2,1.08108
"pusty",3,5.79790,3,1.62162
"librowski",3,5.79790,1,0.54054
"kulinarny",3,5.79790,2,1.08108
"rozpoznawczy",3,5.79790,2,1.08108
"limanowski",3,5.79790,1,0.54054
"e-learningową",3,5.79790,3,1.62162
"kurpiowski",3,5.79790,2,1.08108
"raciborski",3,5.79790,1,0.54054
"ratowniczy",3,5.79790,2,1.08108
"radykalny",3,5.79790,3,1.62162
"kłopotliwy",3,5.79790,3,1.62162
"rzeczowo-chronologiczny",3,5.79790,3,1.62162
"afrykański",3,5.79790,2,1.08108
"alma",3,5.79790,1,0.54054
"różnoraki",3,5.79790,2,1.08108
"lateksowy",3,5.79790,2,1.08108
"samoistny",3,5.79790,1,0.54054
"remontowy",3,5.79790,2,1.08108
"restrykcyjny",3,5.79790,2,1.08108
"epistemologiczny",3,5.79790,3,1.62162
"senacki",3,5.79790,1,0.54054
"umiarkowany",3,5.79790,1,0.54054
"liczbowy",3,5.79790,2,1.08108
"rozrywkowy",3,5.79790,2,1.08108
"rslvsurmhnwx",3,5.79790,1,0.54054
"literowy",3,5.79790,1,0.54054
"logiczny",3,5.79790,1,0.54054
"równoczesny",3,5.79790,1,0.54054
"emerytalny",3,5.79790,3,1.62162
"lotniskowy",3,5.79790,1,0.54054
"chaotyczny",3,5.79790,3,1.62162
"saneczkowy",3,5.79790,2,1.08108
"sejmowy",3,5.79790,2,1.08108
"m.st.",3,5.79790,2,1.08108
"senioralny",3,5.79790,3,1.62162
"fajny",3,5.79790,3,1.62162
"estradowy",3,5.79790,2,1.08108
"skerska",3,5.79790,1,0.54054
"malarski",3,5.79790,2,1.08108
"mieszkalny",3,5.79790,2,1.08108
"ewaluacyjny",3,5.79790,1,0.54054
"autoteliczny",3,5.79790,1,0.54054
"ewangelicki",3,5.79790,2,1.08108
"chmurowy",3,5.79790,2,1.08108
"małżeński",3,5.79790,1,0.54054
"medyczny",3,5.79790,1,0.54054
"społeczno-kombatanckie",3,5.79790,1,0.54054
"sprawny",3,5.79790,3,1.62162
"metropolitalny",3,5.79790,2,1.08108
"fizykochemiczny",3,5.79790,2,1.08108
"faktyczny",3,5.79790,2,1.08108
"michałowski",3,5.79790,1,0.54054
"miechowski",3,5.79790,3,1.62162
"fantastyczny",3,5.79790,3,1.62162
"statyczny",3,5.79790,2,1.08108
"mieszkaniowy",3,5.79790,2,1.08108
"fenomenalny",3,5.79790,3,1.62162
"rusiński",3,5.79790,1,0.54054
"motocyklowy",3,5.79790,2,1.08108
"minczykowska",3,5.79790,2,1.08108
"minczykowskiej",3,5.79790,1,0.54054
"syntetyczny",3,5.79790,1,0.54054
"międzydyskursywnych",3,5.79790,1,0.54054
"szczątkowy",3,5.79790,3,1.62162
"młodzieńczy",3,5.79790,2,1.08108
"strykowski",3,5.79790,1,0.54054
"cichociemny",3,5.79790,2,1.08108
"modny",3,5.79790,2,1.08108
"cichy",3,5.79790,2,1.08108
"słoneczny",3,5.79790,3,1.62162
